original_text,summary_text,content_coverage_score,information_density_score,structural_similarity_score,advanced_keywords_score,semantic_consistency_score,revolutionary_composite_score
앵커 이재명 대통령이 경기도 가평과 전남 담양 경남 산청 등 6개 시군을 특별재난지역으로 선포했습니다 이 대통령은 재난 상황에서 부적절한 공직자들의 처신 문제도 거론했는데 엄혹한 현장에서 음주가무를 즐기는 정신 나간 경우도 있었다며 엄히 단속하라고 주문했습니다 보도에 이희연 기자입니다 리포트 경기도 가평과 충남 서산 예산,이재명 이재명 대통령이 경기도 가평과 전남 담양 경남 산청 등 6개 시군을 특별재난지역으로 선포했습니다,0.28446621351459417,0.5813953488372092,0.9499105545617174,0.29411764705882354,0.6548044978277537,0.530268909017623
KBS 춘천 앵커 신경호 강원도교육감에 대한 결심공판이 어제 22일 열렸습니다 2023년 재판이 시작된 이후 2년만의 일이었는데요 검찰은 신 교육감에게 징역형을 내려야한다고 주장했습니다 조휴연 기자의 보도입니다 리포트 춘천지방법원 앞입니다 신경호 강원도교육감이 나타납니다 기소 2년여만에 열리는 결심공,2023년3년 재판이 시작된 이후 2년만의 일이었는데요 검찰은 신 교육감에게 징역형을 내려야한다고 주장했습니다,0.28796791443850267,0.5238095238095238,0.9452380952380952,0.3389830508474576,0.8467532467532468,0.5419131566339941
앵커 새 정부 인사들의 과거 발언이 잇따라 논란입니다 강준욱 대통령실 국민통합비서관이 계엄 옹호 발언 등으로 결국 자진 사퇴했고 최동석 인사혁신처장도 박원순 전 시장 사건을 두고 한 과거 발언이 2차 가해 논란에 섰습니다 이재명 정부의 인사 검증이 도마에 올랐습니다 김청윤 기자가 보도합니다 리포트 보수 논객 출신인,강준욱 대통령실 국민통합비서관이 계엄 옹호 발언 등으로 결국 자진 사퇴했고 최동석 인사혁신처장도 박원순 전 시장 사건을 두고 한 과거 발언이 2차 가해 논란에 섰습니다,0.5283793604651162,0.0,0.9819444444444442,0.5106382978723404,0.858564814814815,0.5173549231907563
이재명 대통령은 국회에 강선우 여성가족부 장관 후보자를 포함해 국방부와 국가보훈부 통일부 장관 후보자에 대한 인사청문보고서를 내일까지 재송부해 달라고 요청했습니다 강유정 대통령실 대변인은 브리핑을 통해 이같이 밝히며 이번주 내 임명을 마무리하고 신속한 국정 안정을 꾀하기 위해 기한은 오는 24일로 요청했다 고 말했습니다 이 기간 내에 보고서,이재명 이재명 대통령은 국회에 강선우 여성가족부 장관 후보자를 포함해 국방부와 국가보훈부 통일부 장관 후보자에 대한 인사청문보고서를 내일까지 재송부해 달라고 요청했습니다,0.3994714587737843,0.18518518518518523,0.967901234567901,0.5238095238095238,0.6998456790123456,0.5082739773146749
정부가 경기 가평 충남 서산 예산 전남 담양 경남 산청 합천을 특별재난지역으로 우선 선포했습니다 중앙재난안전대책본부는 집중호우 피해지역에 대한 사전조사를 토대로 6개 지자체에 대해서 대통령 재가를 받아 특별재난지역으로 우선 선포했다고 밝혔습니다 특별재난지역으로 선포된 지자체는 해당 지자체의 복구비 가운데 지방비 부담액 일부를 국비로 추가 지,중앙재난안전대책본부는 집중호우 피해지역에 집중호우 피해지역에 집중호우 피해지역에 대한 사전조사를 토대로 6개 지자체에 대해서 대통령 재가를 받아 특별재난지역으로 우선 선포했다고 밝혔습니다,0.3552459016393442,0.11627906976744184,0.9626453488372091,0.59,0.8387112403100776,0.5005437317321133
KBS 광주 앵커 수해 복구를 위해 호남을 찾은 정청래 박찬대 더불어민주당 대표 후보가 당선되면 호남 최고위원을 발탁하겠다고 약속했습니다 두 후보 모두 기후에너지부의 호남 유치도 적극 추진하겠다고 강조했습니다 박지성 기자의 보도입니다 리포트 이른 아침부터 수해 복구에 나선 정청래 더불어민주당 당 대표 후보 2시,수해 복구를 호남을 호남을 찾은 정청래 박찬대 더불어민주당 대표 후보가 당선되면 호남 최고위원을 발탁하겠다고 약속했습니다,0.2975,0.47619047619047616,0.9608843537414966,0.4772727272727273,0.7467687074829933,0.5467422696351268
KBS 대구 앵커 국민의힘 전당대회가 한 달 앞으로 다가온 가운데 당권 주자인 조경태 의원이 대구를 찾았습니다 산업통상자원부를 대구로 옮기고 극우와는 결별하겠다고 약속했는데 탄핵 정국에서 불거진 계파 갈등이 재점화하는 모양새입니다 이지은 기자가 보도합니다 리포트 당 대표 출마 선언 뒤 첫 지역 방문으로 대구를 찾,KBS 대구 대구 앵커 국민의힘 전당대회가 한 달 앞으로 다가온 가운데 당권 주자인 조경태 의원이 당권 주자인 조경태 의원이 대구를 찾았습니다,0.33990554899645803,0.03875968992248069,0.9622093023255816,0.3584905660377358,0.7461240310077519,0.4324894356511095
KBS 전주 앵커 최근 가까스로 통과된 전북도의회 예산결산특별위원 선임안을 두고 반발이 여전합니다 청탁 의혹을 받는 박용근 의원에 대한 도의회 징계 절차도 시작됐는데요 끊이지 않는 잡음에 기강 잡기가 시급해 보입니다 이지현 기자입니다 리포트 지난 16일 의사 일정 제7항은 부결되었음을 선포합니다,전북도의회 예산결산특별위원 선임안을 두고 반발이 여전합니다 청탁 의혹을 받는 박용근 의원에 대한 도의회 징계 절차도 시작됐는데요,0.38794178794178796,0.2991452991452992,0.9631410256410257,0.45544554455445546,0.8273237179487182,0.5348462697751065
앵커 계속된 논란에도 여당에서는 강선우 여성가족부 장관 후보자를 옹호하는 기류가 여전합니다 의원의 사적인 일을 자발적으로 도와주는 보좌진들도 있다는 주장을 펴는가 하면 도리어 정영애 전 장관의 갑질 의혹 폭로가 적절한지 의문을 제기하기도 했습니다 박하정 기자입니다 기자 집권여당 민주당의 지도부는 강선,박하정 기자입니다 집권여당 민주당의 지도부는 강선 강선 강선우 여성가족부 장관 후보자를 옹호하는 기류가 여전하다,0.21212751212751213,0.4700854700854701,0.9482600732600733,0.34513274336283184,0.3854548229548229,0.46112702961154284
앵커 의대생과 전공의 복귀 논의가 급물살을 타고 있습니다 복귀에 있어서 특혜를 줘서는 안 된다는 반대 여론도 만만치 않습니다 이런 가운데 의대 총장들은 복귀하는 의대생을 위해 의사 국가시험을 추가로 치를 수 있도록 정부에 건의하기로 했습니다 진선민 기자가 보도합니다 리포트 복귀 의사를 밝힌 의대생과 전공의들에게 특혜를,진선민 기자가 보도합니다 리포트 복귀 의사를 의대생과 전공의 복귀 논의가 급물살을 타고 있는 가운데 복귀에 있어서 특혜를 줘서는 안 된다는 반대 여론도 만만치 않습니다,0.4276422764227642,0.0,0.9815771349862257,0.5673076923076923,0.5519972451790633,0.46490398828813456
